name_ko,name_en,region
서울대학교,Seoul National University,Seoul
연세대학교,Yonsei University,Seoul
고려대학교,Korea University,Seoul
성균관대학교,Sungkyunkwan University,Seoul
한양대학교,Hanyang University,Seoul
중앙대학교,Chung-Ang University,Seoul
경희대학교,Kyung Hee University,Seoul
이화여자대학교,Ewha Womans University,Seoul
서강대학교,Sogang University,Seoul
홍익대학교,Hongik University,Seoul
부산대학교,Pusan National University,Busan
경북대학교,Kyungpook National University,Daegu
전남대학교,Chonnam National University,Gwangju
충남대학교,Chungnam National University,Daejeon
인하대학교,Inha University,Incheon
아주대학교,Ajou University,Gyeonggi
KAIST,Korea Advanced Institute of Science and Technology,Daejeon
POSTECH,Pohang University of Science and Technology,Gyeongbuk
UNIST,Ulsan National Institute of Science and Technology,Ulsan
DGIST,Daegu Gyeongbuk Institute of Science and Technology,Daegu
동국대학교,Dongguk University,Seoul
국민대학교,Kookmin University,Seoul
숭실대학교,Soongsil University,Seoul
건국대학교,Konkuk University,Seoul
세종대학교,Sejong University,Seoul
동아대학교,Dong-A University,Busan
영산대학교,Youngsan University,Busan
대구대학교,Daegu University,Daegu
조선대학교,Chosun University,Gwangju
단국대학교,Dankook University,Gyeonggi
한국외국어대학교,Hankuk University of Foreign Studies,Seoul
서울시립대학교,University of Seoul,Seoul
광운대학교,Kwangwoon University,Seoul
명지대학교,Myongji University,Seoul
상명대학교,Sangmyung University,Seoul
숙명여자대학교,Sookmyung Women's University,Seoul
덕성여자대학교,Duksung Women's University,Seoul
한국항공대학교,Korea Aerospace University,Gyeonggi
울산대학교,Ulsan National Institute of Science and Technology,Ulsan
전북대학교,Jeonbuk National University,Jeonbuk
창원대학교,Changwon National University,Gyeongnam
제주대학교,Jeju National University,Jeju
강원대학교,Kangwon National University,Gangwon
한국교통대학교,Korea National University of Transportation,Chungbuk
한국체육대학교,Korea National Sport University,Seoul
한국예술종합학교,Korea National University of Arts,Seoul
한국방송통신대학교,Korea National Open University,Seoul
한국기술교육대학교,Korea University of Technology and Education,Chungnam
울산과학기술원,Ulsan National Institute of Science and Technology,Ulsan
포항공과대학교,POSTECH,Gyeongbuk
